!I|NONE|NONE
!newmap|NONE|NONE
!tm2|324|979
e.a.c-tower-defence|1352|4147
eXo_bomb|240|732
edin|460|1315
enCore Reloaded|315|906
epic aip|885|2493
estern2|NONE|NONE
ewix|1572|4634
exo|1169|3566
exo_frizee|NONE|NONE
exotix new idea|1241|3478
exp|798|2280
exp2|210|568
exp_blu3kitts|847|2396
exp_jxsl13|1582|4522
exp_own|355|1074
export|352|1122
f54|696|2090
factoryUb|NONE|NONE
fantasy_map_by_rofl|401|1190
fastcap_ctf2|940|2976
father_ctf|252|703
fav9|NONE|NONE
fb_alpines|404|1257
fb_blizzard|578|1788
fb_core|896|2592
fb_ctf2|452|1440
fb_interstice|1097|3207
fb_teamplay|300|912
fb_zcatchmap|414|1286
fc_forcedgrass|210|647
fc_nightlab|361|1051
feliy_i|1307|3686
fi|268|817
fightintheair_big|461|1435
fir2|785|1809
first50|119|349
firstmap|1211|3703
fly lessons|NONE|NONE
fly2Waleice-no-weapons|NONE|NONE
fly2Waleice|NONE|NONE
fly2deep|1242|3652
fly2walebattu|1157|3331
fly_2_the_asylum|1424|4205
fly_4popo|831|2390
fly_SkizZPopo|523|1789
fly_fish|295|891
fly_green_cave|NONE|NONE
flyctf_3|NONE|NONE
flyctf_ctf2|894|2750
flyctf_l8|NONE|NONE
flyctf_mountain|NONE|NONE
